,CallNumber,Company,Ticker,Date,Call,1-Day,1-Week,1-Month,1-Year,1-DayIndex,1-WeekIndex,1-MonthIndex,1-YearIndex,Sector,Industry,CurrentPrice,HistoricalPrice,Time Since Recommendation,Years Since Recommendation,Total Yield,Annual Yield,Year,Performance
0,1,Lululemon Athletica ,LULU,2018-03-27,Positive Mention,2.00%,2.70%,15.40%,95.0,-0.40%,1.40%,3%,10.0,Consumer Cyclical,Apparel Retail,320.66,78.71,2440 days,6.680355920602327,307.3942319908526,46.014648866663485,2018,85.0
1,3,Simon Property Group ,SPG,2020-11-13,Buy,-1.20%,8.20%,10.60%,121.0,0.40%,-1.40%,1%,31.0,Real Estate,REIT - Retail,183.6,74.7,1478 days,4.046543463381246,145.78313253012047,36.02658264995027,2020,90.0
2,5,Broadcom ,AVGO,2016-06-02,Positive Mention,-1.90%,-1.10%,-7.00%,58.0,0.00%,-0.10%,0%,18.0,Technology,Semiconductors,162.08,15.49,3103 days,8.49555099247091,946.3524854744996,111.39389149840831,2016,40.0
3,8,Apple ,AAPL,2020-07-30,Buy,3.30%,4.80%,21.70%,38.0,0.20%,2.50%,7%,36.0,Technology,Consumer Electronics,237.33,96.19,1584 days,4.336755646817249,146.7304293585612,33.834147300009136,2020,2.0
4,9,United Continental ,UAL,2019-01-15,Buy,-0.60%,-4.00%,2.30%,4.0,0.10%,0.90%,6%,29.0,Industrials,Airlines,96.83,81.2,2146 days,5.87542778918549,19.2487684729064,3.276147569771231,2019,-25.0
5,10,Tesla ,TSLA,2021-04-01,Buy,-2.40%,-2.00%,-0.90%,66.0,0.70%,1.30%,3%,14.0,Consumer Cyclical,Auto Manufacturers,345.16,220.58,1339 days,3.6659822039698837,56.478375192673866,15.40606911062295,2021,52.0
6,11,Tesla ,TSLA,2020-02-07,Buy,-3.60%,11.30%,-21.20%,460.0,1.00%,0.60%,-18%,19.0,Consumer Cyclical,Auto Manufacturers,345.16,49.87,1758 days,4.813141683778234,592.1195107278926,123.0214171179538,2020,441.0
7,13,Darden Restaurants ,DRI,2020-04-08,Buy,-5.30%,-9.90%,14.90%,125.0,0.20%,0.30%,5%,50.0,Consumer Cyclical,Restaurants,176.27,63.57,1697 days,4.646132785763176,177.28488280635523,38.15751528875737,2020,75.0
8,16,FedEx ,FDX,2020-09-15,Buy,-1.10%,-3.50%,13.40%,4.0,-0.80%,-4.40%,3%,34.0,Industrials,Integrated Freight & Logistics,302.67,236.67,1537 days,4.20807665982204,27.886931169983534,6.627001698006822,2020,-30.0
9,17,Simon Property Group ,SPG,2020-05-15,Negative Mention,3.80%,4.10%,30.70%,129.0,0.70%,1.40%,4%,43.0,Real Estate,REIT - Retail,183.6,51.32,1660 days,4.544832306639288,257.755261106781,56.713921156175765,2020,86.0
10,24,Enphase Energy ,ENPH,2019-09-13,Negative Mention,-1.30%,17.10%,6.40%,199.0,0.10%,-0.20%,-1%,15.0,Technology,Solar,71.35,22.08,1905 days,5.215605749486653,223.143115942029,42.783739158963826,2019,184.0
11,30,Texas Instruments ,TXN,2016-07-25,Buy,1.10%,-3.10%,-1.70%,19.0,0.10%,-0.60%,0%,16.0,Technology,Semiconductors,201.03,66.22,3050 days,8.350444900752908,203.5789791603745,24.379417094533373,2016,3.0
12,31,Thermo Fisher Scientific ,TMO,2020-03-16,Positive Mention,-0.60%,-4.80%,11.00%,50.0,3.20%,-3.20%,11%,60.0,Healthcare,Diagnostics & Research,529.63,279.35,1720 days,4.7091033538672145,89.59369965992481,19.02563883766717,2020,-10.0
13,32,Airbnb ,ABNB,2021-02-25,Buy,6.30%,-12.90%,-11.60%,-27.0,-1.00%,0.90%,4%,16.0,Consumer Cyclical,Travel Services,136.11,182.06,1374 days,3.761806981519507,-25.2389322201472,-6.709257637124283,2021,-43.0
14,41,Netflix ,NFLX,2017-01-18,Positive Mention,-2.50%,0.40%,3.00%,59.0,-0.40%,1.50%,5%,27.0,Communication Services,Entertainment,886.81,133.26,2873 days,7.865845311430527,565.473510430737,71.88973187776773,2017,32.0
15,45,Hasbro ,HAS,2017-04-21,Buy,-0.60%,-2.30%,0.10%,-13.0,0.00%,0.60%,1%,15.0,Consumer Cyclical,Leisure,65.15,163.06,2780 days,7.611225188227242,-60.04538206795045,-7.88905604328018,2017,-28.0
16,48,Northrop Grumman ,NOC,2016-11-08,Buy,-1.00%,1.30%,-1.20%,25.0,1.90%,0.70%,5%,22.0,Industrials,Aerospace & Defense,489.65,229.87,2944 days,8.060232717316905,113.01170226649843,14.020898183708749,2016,3.0
17,50,Moderna ,MRNA,2021-02-25,Buy,-2.00%,-14.60%,-20.30%,-1.0,-1.00%,0.90%,4%,16.0,Healthcare,Biotechnology,43.06,148.38,1374 days,3.761806981519507,-70.97991643078582,-18.86856948787811,2021,-17.0
18,52,Palo Alto Networks ,PANW,2022-02-22,Buy,-5.60%,21.90%,30.30%,,-2.50%,3.80%,8%,0.0,Technology,Software - Infrastructure,387.82,158.5,1012 days,2.7707049965776864,144.6813880126183,52.21825787708383,2022,
19,56,Salesforce ,CRM,2019-08-22,Buy,-3.90%,3.00%,2.00%,38.0,-2.10%,2.70%,5%,23.0,Technology,Software - Application,329.99,148.24,1927 days,5.27583846680356,122.60523475445223,23.23900466739163,2019,15.0
20,57,Western Digital ,WDC,2016-12-06,Buy,1.80%,-2.90%,2.50%,16.0,1.40%,0.60%,2%,20.0,Technology,Computer Hardware,72.99,63.85,2916 days,7.983572895277208,14.314800313234132,1.7930318293582876,2016,-4.0
21,58,Cisco Systems ,CSCO,2020-11-06,Buy,-4.30%,11.40%,16.10%,54.0,-2.60%,2.30%,4%,34.0,Technology,Communication Equipment,59.21,37.53,1485 days,4.0657084188911705,57.76711963762323,14.208377405819451,2020,20.0
22,62,MGM Resorts ,MGM,2016-11-04,Positive Mention,-3.20%,0.70%,6.60%,18.0,2.20%,1.60%,4%,24.0,Consumer Cyclical,Resorts & Casinos,38.34,26.41,2948 days,8.071184120465434,45.172283226050745,5.596735565914192,2016,-6.0
23,63,Estee Lauder ,EL,2020-10-30,Buy,-4.10%,10.00%,9.80%,46.0,0.00%,7.40%,10%,41.0,Consumer Defensive,Household & Personal Products,72.12,219.66,1492 days,4.084873374401095,-67.16744059000273,-16.442967610923926,2020,5.0
24,66,Dominion Energy ,D,2020-03-12,Buy,3.00%,-14.10%,1.60%,-1.0,2.40%,-14.50%,3%,50.0,Utilities,Utilities - Regulated Electric,58.75,71.31,1724 days,4.720054757015743,-17.613237975038565,-3.73157492481603,2020,-51.0
25,67,Simon Property Group ,SPG,2020-04-27,Buy,4.20%,-4.40%,-5.70%,108.0,-1.80%,0.20%,6%,48.0,Real Estate,REIT - Retail,183.6,57.19,1678 days,4.594113620807666,221.03514600454625,48.112685982217236,2020,60.0
26,71,CVS Health ,CVS,2020-11-06,Buy,-2.10%,8.80%,9.00%,42.0,-2.60%,2.30%,4%,34.0,Healthcare,Healthcare Plans,59.85,64.95,1485 days,4.0657084188911705,-7.8521939953810636,-1.9313224625002918,2020,8.0
27,73,Analog Devices ,ADI,2016-07-26,Positive Mention,-5.20%,-0.70%,0.10%,29.0,-0.30%,-0.20%,0%,16.0,Technology,Semiconductors,218.05,62.87,3049 days,8.347707049965777,246.82678543025293,29.568213636733315,2016,13.0
28,75,Netflix ,NFLX,2022-01-26,Negative Mention,1.20%,4.90%,2.00%,,-1.60%,3.60%,1%,0.0,Communication Services,Entertainment,886.81,359.7,1039 days,2.844626967830253,146.54156241312202,51.51521238825103,2022,
29,76,Qualcomm ,QCOM,2020-03-12,Buy,6.50%,-19.70%,-3.30%,78.0,2.40%,-14.50%,3%,50.0,Technology,Semiconductors,158.53,67.02,1724 days,4.720054757015743,136.5413309459863,28.927912487251444,2020,28.0
30,80,General Motors ,GM,2021-01-12,Buy,-4.00%,14.60%,10.00%,27.0,0.30%,1.10%,3%,24.0,Consumer Cyclical,Auto Manufacturers,55.59,47.82,1418 days,3.8822724161533197,16.248431618569644,4.185288891877688,2021,3.0
31,84,Boeing ,BA,2020-11-17,Buy,-8.80%,7.00%,8.10%,12.0,-1.30%,1.80%,4%,34.0,Industrials,Aerospace & Defense,155.44,210.05,1474 days,4.035592060232717,-25.998571768626526,-6.442319089885237,2020,-22.0
32,88,Apple ,AAPL,2017-08-01,Buy,-1.30%,2.50%,4.80%,34.0,0.00%,-0.10%,0%,16.0,Technology,Consumer Electronics,237.33,37.51,2678 days,7.3319644079397674,532.711276992802,72.6560096794701,2017,18.0
33,93,Ford Motor ,F,2020-10-28,Buy,-3.30%,1.10%,14.90%,116.0,0.90%,6.10%,10%,41.0,Consumer Cyclical,Auto Manufacturers,11.13,7.7,1494 days,4.090349075975359,44.545454545454554,10.890379700620667,2020,75.0
34,100,PayPal ,PYPL,2017-10-19,Buy,-0.50%,0.10%,7.10%,20.0,0.20%,0.20%,0%,9.0,Financial Services,Credit Services,86.77,67.25,2599 days,7.115674195756331,29.026022304832708,4.079166851419833,2017,11.0
35,102,AbbVie ,ABBV,2020-03-12,Buy,2.40%,-19.40%,-5.90%,36.0,2.40%,-14.50%,3%,50.0,Healthcare,Drug Manufacturers - General,182.93,78.61,1724 days,4.720054757015743,132.70576262562014,28.1153015075451,2020,-14.0
36,106,Delta Air Lines ,DAL,2020-04-16,Negative Mention,0.50%,-7.70%,-9.90%,90.0,0.40%,-1.30%,3%,47.0,Industrials,Airlines,63.82,22.78,1689 days,4.6242299794661195,180.15803336259876,38.959574710295556,2020,43.0
37,107,Broadcom ,AVGO,2016-12-08,Positive Mention,-1.00%,0.20%,-0.60%,48.0,0.50%,-0.10%,1%,20.0,Technology,Semiconductors,162.08,17.07,2914 days,7.9780971937029435,849.5020503807851,106.47928068002119,2016,28.0
38,108,Diamondback Energy ,FANG,2020-04-09,Positive Mention,-10.50%,-4.70%,24.00%,131.0,-0.50%,4.00%,6%,52.0,Energy,Oil & Gas E&P,177.59,34.86,1696 days,4.643394934976044,409.43775100401615,88.17637886451467,2020,79.0
39,110,Walmart ,WMT,2019-08-14,Buy,0.10%,-0.70%,2.60%,20.0,-0.10%,2.70%,5%,21.0,Consumer Defensive,Discount Stores,92.5,35.4,1935 days,5.297741273100616,161.29943502824858,30.44683134060351,2019,-1.0
40,111,Wynn Resorts ,WYNN,2020-11-13,Buy,-3.00%,0.80%,13.50%,3.0,0.40%,-1.40%,1%,31.0,Consumer Cyclical,Resorts & Casinos,94.38,92.19,1478 days,4.046543463381246,2.3755287992190017,0.5870513490627471,2020,-28.0
41,113,Salesforce ,CRM,2021-05-27,Buy,-0.50%,-0.30%,2.70%,-33.0,-0.20%,0.60%,2%,0.0,Technology,Software - Application,329.99,225.83,1283 days,3.512662559890486,46.12319001018465,13.130549611239239,2021,-33.0
42,118,Quest Diagnostics ,DGX,2020-04-06,Negative Mention,0.10%,8.00%,28.70%,56.0,-3.30%,7.00%,9%,56.0,Healthcare,Diagnostics & Research,162.66,78.69,1699 days,4.65160848733744,106.70987418985894,22.940424689726886,2020,0.0
43,126,Salesforce ,CRM,2016-11-17,Buy,-2.30%,-5.20%,-10.60%,38.0,-0.30%,1.40%,4%,21.0,Technology,Software - Application,329.99,75.19,2935 days,8.035592060232718,338.8748503790398,42.171733935585785,2016,17.0
44,127,NXP Semiconductors ,NXPI,2020-06-04,Buy,-1.80%,-6.40%,2.70%,79.0,0.70%,-4.70%,0%,34.0,Technology,Semiconductors,229.37,109.55,1640 days,4.490075290896646,109.37471474212688,24.35921619485478,2020,45.0
45,131,Chevron ,CVX,2020-03-09,Sell,-1.50%,-16.80%,-0.80%,39.0,1.30%,-12.40%,-3%,38.0,Energy,Oil & Gas Integrated,161.93,80.67,1727 days,4.728268309377139,100.73137473658115,21.304073319360892,2020,1.0
46,135,Martin Marietta Materials ,MLM,2016-11-08,Buy,5.50%,-2.00%,2.80%,-5.0,1.90%,0.70%,5%,22.0,Basic Materials,Building Materials,600.0,202.01,2944 days,8.060232717316905,197.0149992574625,24.442842553936206,2016,-27.0
47,136,Starbucks ,SBUX,2018-11-01,Positive Mention,3.80%,6.70%,5.50%,31.0,-1.00%,2.20%,3%,15.0,Consumer Cyclical,Restaurants,102.46,58.63,2221 days,6.080766598220397,74.75695036670645,12.294000955173134,2018,16.0
48,145,Cisco Systems ,CSCO,2017-11-15,Buy,-0.40%,1.70%,7.20%,33.0,0.40%,0.70%,4%,8.0,Technology,Communication Equipment,59.21,34.11,2572 days,7.041752224503765,73.58545880973321,10.44987901642887,2017,25.0
49,146,Union Pacific ,UNP,2019-07-17,Negative Mention,0.20%,-0.60%,-3.20%,6.0,0.60%,0.40%,-2%,10.0,Industrials,Railroads,244.66,164.55,1963 days,5.374401095140315,48.68429048921299,9.0585517581177,2019,-4.0
50,148,Wynn Resorts ,WYNN,2018-03-08,Buy,-0.20%,-2.20%,-4.50%,-35.0,1.10%,-1.30%,-6%,2.0,Consumer Cyclical,Resorts & Casinos,94.38,179.11,2459 days,6.7323750855578375,-47.3061247278209,-7.026662080860749,2018,-37.0
51,150,Salesforce ,CRM,2016-05-18,Buy,-1.40%,2.80%,0.20%,8.0,0.10%,2.50%,2%,19.0,Technology,Software - Application,329.99,77.87,3118 days,8.536618754277892,323.770386541672,37.92723979613396,2016,-11.0
52,151,Palo Alto Networks ,PANW,2021-05-20,Buy,0.20%,0.20%,2.30%,38.0,-0.50%,1.20%,2%,-3.0,Technology,Software - Infrastructure,387.82,114.2,1290 days,3.5318275154004106,239.59719789842381,67.83943917240256,2021,41.0
53,153,United Parcel Service ,UPS,2020-03-12,Buy,3.50%,-0.80%,4.40%,78.0,2.40%,-14.50%,3%,50.0,Industrials,Integrated Freight & Logistics,135.72,86.17,1724 days,4.720054757015743,57.50261111755832,12.182615261420056,2020,28.0
54,157,Adobe Systems ,ADBE,2020-06-11,Buy,-0.70%,5.30%,8.80%,37.0,-1.30%,1.90%,4%,42.0,Technology,Software - Infrastructure,515.93,387.67,1633 days,4.470910335386721,33.08484019913842,7.40002319824575,2020,-5.0
55,160,TJX Companies ,TJX,2020-05-15,Positive Mention,-0.10%,11.10%,5.70%,46.0,0.70%,1.40%,4%,43.0,Consumer Cyclical,Apparel Retail,125.69,47.17,1660 days,4.544832306639288,166.4617341530634,36.626595421329164,2020,3.0
56,161,Norwegian Cruise Line ,NCLH,2020-11-23,Buy,2.30%,1.70%,9.00%,0.0,0.80%,0.80%,2%,31.0,Consumer Cyclical,Travel Services,26.89,20.89,1468 days,4.0191649555099245,28.721876495931067,7.146229829794838,2020,-31.0
57,162,Apple ,AAPL,2019-01-29,Buy,1.20%,5.40%,6.30%,99.0,0.90%,1.90%,5%,25.0,Technology,Consumer Electronics,237.33,38.67,2132 days,5.83709787816564,513.7315748642359,88.01147172568582,2019,74.0
58,170,Nike ,NKE,2020-12-18,Buy,-0.60%,-1.10%,-3.30%,10.0,0.80%,1.20%,3%,25.0,Consumer Cyclical,Footwear & Accessories,78.77,137.28,1443 days,3.9507186858316223,-42.62092074592075,-10.788143660739815,2020,-15.0
59,180,Intuit ,INTU,2018-11-16,Positive Mention,-5.10%,1.10%,-0.90%,36.0,-1.40%,-0.60%,-5%,18.0,Technology,Software - Application,641.73,211.44,2206 days,6.039698836413415,203.5045402951192,33.69448474287955,2018,18.0
60,183,United Continental ,UAL,2018-10-16,Buy,0.50%,-7.10%,4.30%,1.0,0.00%,-5.40%,-2%,9.0,Industrials,Airlines,96.83,83.52,2237 days,6.12457221081451,15.936302681992341,2.6020270695564163,2018,-8.0
61,186,Enphase Energy ,ENPH,2021-12-06,Buy,-0.80%,-9.10%,-31.90%,42.0,0.80%,-1.10%,0%,-15.0,Technology,Solar,71.35,212.94,1090 days,2.9842573579739904,-66.49290880060111,-22.281224715063814,2021,57.0
62,197,Tesla ,TSLA,2020-11-30,Buy,-2.10%,11.10%,20.70%,87.0,0.10%,1.10%,3%,25.0,Consumer Cyclical,Auto Manufacturers,345.16,189.2,1461 days,4.0,82.43128964059198,20.607822410147996,2020,62.0
63,208,Airbnb ,ABNB,2022-05-03,Buy,2.40%,-25.60%,-23.30%,,2.90%,-8.50%,-4%,0.0,Consumer Cyclical,Travel Services,136.11,145.0,942 days,2.5790554414784395,-6.131034482758611,-2.377240281133315,2022,
64,210,HP ,HPQ,2020-11-24,Buy,-2.80%,2.60%,10.00%,60.0,-0.10%,1.10%,3%,28.0,Technology,Computer Hardware,35.43,21.75,1467 days,4.016427104722792,62.89655172413793,15.659826528453564,2020,32.0
65,211,Western Digital ,WDC,2020-04-06,Buy,-5.90%,4.50%,-2.40%,69.0,-3.30%,7.00%,9%,56.0,Technology,Computer Hardware,72.99,43.31,1699 days,4.65160848733744,68.52920803509579,14.732368001659056,2020,13.0
66,214,Intel ,INTC,2020-01-23,Negative Mention,2.90%,-6.60%,-9.40%,-17.0,-1.10%,-2.10%,-2%,19.0,Technology,Semiconductors,24.05,63.32,1773 days,4.854209445585216,-62.01831964624131,-12.776193598866124,2020,-36.0
67,215,International Flavors and ,IFF,2020-11-06,Buy,-1.50%,2.10%,2.30%,33.0,-2.60%,2.30%,4%,34.0,Basic Materials,Specialty Chemicals,91.36,108.56,1485 days,4.0657084188911705,-15.84377302873987,-3.8969280126244024,2020,-1.0
68,220,Wynn Resorts ,WYNN,2020-04-27,Positive Mention,-5.50%,-3.00%,1.30%,59.0,-1.80%,0.20%,6%,48.0,Consumer Cyclical,Resorts & Casinos,94.38,82.77,1678 days,4.594113620807666,14.026821312069591,3.0532160215932174,2020,11.0
69,221,Zebra Technologies ,ZBRA,2018-11-12,Buy,-2.70%,-5.10%,-0.80%,37.0,-1.40%,-1.90%,-4%,17.0,Technology,Communication Equipment,407.0,177.43,2210 days,6.050650239561944,129.38623682579043,21.383856561366496,2018,20.0
70,222,Zebra Technologies ,ZBRA,2018-11-13,Buy,-2.70%,-5.10%,-0.80%,37.0,-1.40%,-1.90%,-4%,17.0,Technology,Communication Equipment,407.0,176.87,2209 days,6.047912388774812,130.1125120144739,21.51362381769425,2018,20.0
71,224,Qorvo ,QRVO,2020-07-29,Buy,6.20%,5.10%,-0.30%,47.0,0.60%,3.20%,8%,37.0,Technology,Semiconductors,69.05,115.28,1585 days,4.339493497604381,-40.10235947258848,-9.241253499913528,2020,10.0
72,227,Live Nation ,LYV,2020-04-27,Sell,-1.10%,-7.80%,12.30%,89.0,-1.80%,0.20%,6%,48.0,Communication Services,Entertainment,138.25,42.01,1678 days,4.594113620807666,229.08831230659368,49.86561744337506,2020,41.0
